City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Georgetown,5.4112,100.3354,79.0,89,40,3.44,MY,2021-04-23 21:07:03
115,San Andres,12.5847,-81.7006,86.0,62,20,11.5,CO,2021-04-23 21:07:03
116,Aberdeen,57.1437,-2.0981,42.8,87,100,2.3,GB,2021-04-23 21:02:47
117,Qasigiannguit,68.8193,-51.1922,37.4,65,84,2.3,GL,2021-04-23 21:04:14
118,Jumla,29.2747,82.1838,45.66,79,92,6.2,NP,2021-04-23 21:07:03
119,Ternate,0.8,127.4,81.39,78,85,4.56,ID,2021-04-23 21:07:04
120,Bonfim,3.0833,-59.95,89.71,47,75,9.62,BR,2021-04-23 21:07:04
121,Provideniya,64.3833,-173.3,39.0,60,89,3.78,RU,2021-04-23 21:07:04
122,Esil,51.9556,66.4042,42.98,42,100,15.77,KZ,2021-04-23 21:07:04
123,Grand Gaube,-20.0064,57.6608,78.01,79,99,5.01,MU,2021-04-23 21:03:08
124,Yellowknife,62.456,-114.3525,16.0,53,75,11.5,CA,2021-04-23 21:07:05
125,Ixtapa,20.7,-105.2,84.2,61,1,11.5,MX,2021-04-23 21:02:08
126,Severo-Kurilsk,50.6789,156.125,35.67,93,99,7.76,RU,2021-04-23 21:07:05
127,Yanam,16.7333,82.2167,76.41,83,99,2.13,IN,2021-04-23 21:07:05
128,Zhob,31.3411,69.4481,64.0,43,0,1.7,PK,2021-04-23 21:07:06
129,Klyuchi,52.2667,79.1667,32.4,65,3,7.49,RU,2021-04-23 21:07:06
130,Yeniseysk,58.4497,92.1703,26.2,96,44,2.66,RU,2021-04-23 21:07:06
131,Santa Cruz De La Palma,28.6835,-17.7642,69.8,64,40,4.61,ES,2021-04-23 21:07:06
132,Morro Bay,35.3658,-120.8499,63.0,73,6,1.01,US,2021-04-23 21:07:07
133,Belyy Yar,53.6039,91.3903,30.2,51,0,4.47,RU,2021-04-23 21:07:07
134,Morrope,-6.5417,-80.0111,73.4,64,0,23.02,PE,2021-04-23 21:07:07
135,Malanje,-9.5402,16.341,63.77,93,78,3.18,AO,2021-04-23 21:06:46
136,Shinpokh,34.3292,71.1782,68.0,45,0,11.5,PK,2021-04-23 21:07:08
137,Zapolyarnyy,69.4154,30.8136,30.2,80,0,4.61,RU,2021-04-23 21:07:08
138,Hobyo,5.3505,48.5268,83.59,65,59,10.4,SO,2021-04-23 21:07:08
139,Qaanaaq,77.484,-69.3632,23.31,82,100,5.19,GL,2021-04-23 21:07:08
