,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Lorengau,PG,-2.0226,147.2712,80.71,76,100,2.8,overcast clouds
124,Ponta Do Sol,PT,32.6667,-17.1,68.0,64,40,6.91,scattered clouds
125,Namibe,AO,-15.1961,12.1522,87.8,62,20,16.11,few clouds
126,Norman Wells,CA,65.282,-126.8329,26.6,68,40,12.66,scattered clouds
127,Khor,RU,47.8861,134.9464,34.68,39,0,6.08,clear sky
128,Qaanaaq,GL,77.484,-69.3632,27.23,73,47,6.04,scattered clouds
129,Walvis Bay,NA,-22.9575,14.5053,78.8,44,12,6.91,few clouds
130,Vila,PT,42.0304,-8.1588,57.99,91,100,3.0,overcast clouds
131,Baykit,RU,61.67,96.37,36.75,88,99,5.37,overcast clouds
132,Sokolo,ML,14.7328,-6.1219,103.91,11,91,4.36,overcast clouds
133,Qaqortoq,GL,60.7167,-46.0333,51.8,30,75,31.07,light rain
134,Cabo San Lucas,MX,22.8909,-109.9124,64.4,52,1,7.56,clear sky
135,Dicabisagan,PH,17.0818,122.4157,76.42,81,82,8.48,broken clouds
136,Green River,US,41.5286,-109.4662,39.2,56,90,5.75,overcast clouds
137,Port Alfred,ZA,-33.5906,26.891,78.48,50,100,14.72,overcast clouds
138,Morgan City,US,29.6994,-91.2068,63.0,72,1,16.11,clear sky
139,Pacific Grove,US,36.6177,-121.9166,53.6,87,90,5.75,overcast clouds
140,Ribeira Grande,PT,38.5167,-28.7,66.2,63,40,4.61,scattered clouds
141,Chokurdakh,RU,70.6333,147.9167,13.01,93,100,10.47,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,83.75,67,15,7.2,few clouds
143,Praia Da Vitoria,PT,38.7333,-27.0667,64.0,72,40,19.69,scattered clouds
144,Xique-Xique,BR,-10.8218,-42.7263,83.73,57,3,10.74,clear sky
145,Kushiro,JP,42.975,144.3747,33.22,75,100,12.35,overcast clouds
146,Hobart,AU,-42.8794,147.3294,57.2,62,40,14.97,moderate rain
147,Krasnoselkup,RU,65.7,82.4667,24.6,84,32,8.01,scattered clouds
148,Lander,US,42.833,-108.7307,39.99,70,90,5.75,overcast clouds
149,Port Augusta,AU,-32.5,137.7667,60.8,77,0,5.75,clear sky
150,Iwanai,JP,42.9744,140.5089,36.88,76,52,5.79,light rain
151,Klaksvik,FO,62.2266,-6.589,50.0,71,100,12.66,overcast clouds
152,Altay,CN,47.8667,88.1167,35.87,37,0,7.34,clear sky
153,Padang,ID,-0.9492,100.3543,79.9,82,100,1.95,overcast clouds
154,Teahupoo,PF,-17.8333,-149.2667,75.2,83,75,5.75,light rain
155,Prince Rupert,CA,54.3161,-130.3201,46.4,61,1,9.22,clear sky
156,Souillac,MU,-20.5167,57.5167,78.8,78,75,16.11,broken clouds
157,Santa Maria,BR,-29.6842,-53.8069,66.2,94,90,5.75,overcast clouds
158,Cidreira,BR,-30.1811,-50.2056,67.84,87,100,13.91,overcast clouds
159,Alice Springs,AU,-23.7,133.8833,53.6,47,1,6.91,clear sky
160,Aklavik,CA,68.2191,-135.0107,15.8,92,56,5.75,broken clouds
161,Florianopolis,BR,-27.6146,-48.5012,77.0,83,75,4.61,light rain
162,Georgetown,MY,5.4112,100.3354,86.0,84,20,5.37,few clouds
163,Avera,US,33.194,-82.5271,61.0,100,75,10.36,broken clouds
164,Turayf,SA,31.6725,38.6637,95.0,16,40,11.5,scattered clouds
165,Rawson,AR,-43.3002,-65.1023,57.49,66,8,16.44,clear sky
166,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,75,16.11,light rain
167,Lima,PE,-12.0432,-77.0282,63.0,94,90,4.61,fog
168,Santa Cruz,BO,-17.8,-63.1667,68.0,83,75,17.27,broken clouds
169,Brejinho,BR,-6.1908,-35.3567,86.0,66,40,11.5,scattered clouds
170,Hay River,CA,60.8156,-115.7999,8.6,78,100,3.44,overcast clouds
171,Muros,ES,42.7762,-9.0603,62.01,84,100,2.73,overcast clouds
172,Solenzo,BF,12.1833,-4.0833,101.73,21,100,7.36,overcast clouds
173,Osorno,CL,-40.5667,-73.15,41.0,100,90,0.29,fog
174,Bandarbeyla,SO,9.4942,50.8122,85.33,71,28,13.31,scattered clouds
175,Clinton,US,42.587,-82.9199,44.01,93,90,12.66,overcast clouds
176,Vila Velha,BR,-20.3297,-40.2925,84.0,74,40,3.44,scattered clouds
177,Castro,BR,-24.7911,-50.0119,67.28,65,98,3.83,overcast clouds
178,Bakchar,RU,57.0186,82.0711,40.5,94,100,2.59,overcast clouds
179,Amapa,BR,1.0,-52.0,78.26,88,99,2.98,overcast clouds
180,Ayan,RU,56.45,138.1667,23.83,84,24,6.13,few clouds
181,Iralaya,HN,15.0,-83.2333,77.0,94,1,9.37,clear sky
182,Mahebourg,MU,-20.4081,57.7,78.8,78,75,16.11,light rain
183,Tomball,US,30.0972,-95.6161,66.0,72,1,6.91,clear sky
184,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,49.64,80,96,7.02,overcast clouds
185,Farafangana,MG,-22.8167,47.8333,76.28,84,43,7.63,light rain
186,The Pas,CA,53.8251,-101.2541,26.6,68,75,6.91,broken clouds
187,Celestun,MX,20.8667,-90.4,76.62,78,7,10.0,clear sky
188,Magdagachi,RU,53.45,125.8,42.42,50,100,4.47,overcast clouds
189,Cherskiy,RU,68.75,161.3,3.29,96,97,5.26,overcast clouds
190,Poyarkovo,RU,49.6,128.6833,43.09,37,11,5.46,few clouds
191,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,85.24,58,99,5.66,overcast clouds
192,Mwinilunga,ZM,-11.7358,24.4293,75.56,57,24,6.2,light rain
193,Lahij,YE,13.1667,44.5833,89.55,41,78,15.35,broken clouds
194,Monte Santo,BR,-10.4378,-39.3328,81.32,60,24,7.4,few clouds
195,Kieta,PG,-6.2167,155.6333,78.35,83,74,1.61,broken clouds
196,Barrancas,CO,10.9576,-72.7877,80.98,70,96,4.54,overcast clouds
197,Nikolskoye,RU,59.7035,30.7861,41.0,81,90,17.9,overcast clouds
198,Clyde River,CA,70.4692,-68.5914,15.8,100,20,11.5,few clouds
199,Esperance,AU,-33.8667,121.9,68.0,42,5,10.36,clear sky
200,Chuy,UY,-33.6971,-53.4616,62.85,64,3,12.33,clear sky
201,Saint-Augustin,CA,51.226,-58.6502,40.82,61,13,14.74,few clouds
202,Miri,MY,4.4148,114.0089,82.4,78,20,2.3,few clouds
203,Tabou,CI,4.423,-7.3528,85.23,67,100,5.14,light rain
204,Rongcheng,CN,30.634,117.8517,59.43,97,100,1.77,overcast clouds
205,Arkansas City,US,37.062,-97.0384,54.0,82,1,12.66,clear sky
206,Poum,NC,-20.2333,164.0167,76.91,81,100,15.48,overcast clouds
207,Berdigestyakh,RU,62.0989,126.6992,28.85,99,100,3.13,overcast clouds
208,Dingle,PH,10.9995,122.6711,78.69,81,14,3.62,light rain
209,Valentin Gomez Farias,MX,28.2167,-106.5833,54.18,16,60,7.23,broken clouds
210,Christchurch,NZ,-43.5333,172.6333,46.0,93,40,2.3,scattered clouds
211,Yulara,AU,-25.2406,130.9889,64.4,34,0,6.91,clear sky
212,Namatanai,PG,-3.6667,152.4333,80.42,79,81,4.79,broken clouds
213,Nizhniy Tsasuchey,RU,50.5167,115.1333,53.13,17,100,14.16,overcast clouds
214,Richards Bay,ZA,-28.783,32.0377,76.06,63,0,7.74,clear sky
215,Khatanga,RU,71.9667,102.5,13.75,92,100,23.44,light snow
216,Concepcion Del Oro,MX,24.6333,-101.4167,52.9,34,21,6.42,few clouds
217,Lardos,GR,36.0942,28.0157,71.01,73,20,9.22,few clouds
218,Hasaki,JP,35.7333,140.8333,57.2,58,75,14.97,broken clouds
219,Kavaratti,IN,10.5669,72.642,84.81,71,14,10.56,few clouds
220,Saint-Felicien,CA,48.6501,-72.4491,42.8,60,40,5.17,scattered clouds
221,Agadez,NE,19.75,10.25,104.49,6,0,9.24,clear sky
222,Vikhorevka,RU,56.1201,101.1636,39.2,45,15,11.18,few clouds
223,Sohag,EG,26.557,31.6948,104.0,6,0,4.61,clear sky
224,Banjar,ID,-8.19,114.9675,84.2,84,20,14.97,few clouds
225,Tuy Hoa,VN,13.0833,109.3,80.1,84,24,3.0,few clouds
226,Estanzuela,GT,15.0,-89.5667,75.2,78,20,0.78,few clouds
227,Merauke,ID,-8.4667,140.3333,79.63,81,67,5.68,broken clouds
228,Sinnamary,GF,5.3833,-52.95,81.27,80,61,10.89,broken clouds
229,Sunland Park,US,31.7965,-106.58,61.0,15,1,4.61,clear sky
230,Spas-Demensk,RU,54.4122,34.0226,42.42,48,100,13.51,light rain
231,Mayumba,GA,-3.432,10.6554,83.26,71,98,8.95,overcast clouds
232,Palmas,BR,-10.2128,-48.3603,77.0,94,75,10.36,moderate rain
233,Casablanca,MA,33.5928,-7.6192,73.4,56,40,24.16,scattered clouds
234,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,72,75,16.11,broken clouds
235,Provideniya,RU,64.3833,-173.3,32.97,89,100,2.35,overcast clouds
236,Iracoubo,GF,5.4802,-53.2011,80.78,82,98,10.51,overcast clouds
237,Wajima,JP,37.4,136.9,48.65,46,0,8.77,clear sky
238,Newport,GB,51.5877,-2.9984,59.0,47,6,18.41,clear sky
239,Ambulu,ID,-8.345,113.6058,76.68,87,26,4.85,scattered clouds
240,Saldanha,ZA,-33.0117,17.9442,71.6,60,100,6.91,overcast clouds
241,Pacifica,US,37.6138,-122.4869,51.01,93,90,4.61,mist
242,Portland,US,45.5234,-122.6762,46.0,87,100,1.01,overcast clouds
243,Carnarvon,AU,-24.8667,113.6333,71.6,78,3,5.75,clear sky
244,Caravelas,BR,-17.7125,-39.2481,84.25,59,4,5.48,clear sky
245,Jinxiang,CN,27.4327,120.6062,63.73,85,100,6.67,overcast clouds
246,Champerico,GT,14.3,-91.9167,73.4,88,20,3.29,few clouds
247,Kiama,AU,-34.6833,150.8667,57.99,86,78,4.23,broken clouds
248,Iqaluit,CA,63.7506,-68.5145,33.8,86,90,5.75,light snow
249,Tessalit,ML,20.1986,1.0114,102.79,4,0,6.04,clear sky
250,Vanimo,PG,-2.6741,141.3028,75.69,87,100,2.91,overcast clouds
251,Cabimas,VE,10.3883,-71.4399,82.09,71,46,4.79,scattered clouds
252,Jalu,LY,29.0331,21.5482,79.68,34,0,20.74,clear sky
253,Melhus,NO,63.2855,10.2781,43.0,70,75,14.97,broken clouds
254,Ilulissat,GL,69.2167,-51.1,46.4,46,59,21.85,broken clouds
255,Isernia,IT,41.6002,14.2382,73.0,39,59,8.01,broken clouds
256,Teyateyaneng,LS,-29.1472,27.7489,74.57,9,0,11.72,clear sky
257,Kommunar,RU,59.6206,30.39,41.0,81,90,17.9,overcast clouds
